x,y,inside
0.1129,0.4262,0
0.2277,0.4450,1
0.0586,0.3452,0
0.5872,0.3828,1
0.6019,0.3567,1
0.3002,0.7627,1
0.4476,0.8197,1
0.6934,0.3917,1
0.0878,0.3618,0
0.0000,0.3133,0
0.7374,0.8094,0
0.1208,0.1663,0
0.5600,0.1555,1
0.7667,0.6419,1
0.4086,0.8933,0
0.9340,0.3944,0
0.1496,0.8580,0
0.1398,0.7233,0
0.7917,0.9341,0
0.0698,0.0266,0
0.4651,0.4970,1
0.2925,0.8271,0
0.9637,0.4377,0
0.6956,0.2690,1
0.7438,0.2363,0
0.6894,0.4214,1
0.1672,0.7346,0
0.9837,0.5622,0
0.3881,0.9742,0
0.7247,0.6449,1
0.4357,0.9760,0
0.4406,0.4334,1
0.1608,0.2915,0
0.5029,0.4298,1
0.3680,0.4232,1
0.8806,0.0185,0
0.5004,0.6802,1
0.3297,0.4213,1
0.3283,0.4243,1
0.0483,0.8608,0
0.4004,0.9856,0
0.7948,0.9900,0
0.7826,0.4650,1
0.8685,0.0631,0
0.9978,0.2775,0
0.2543,0.7590,0
0.1568,0.3906,0
0.1936,0.0870,0
0.4562,0.4408,1
0.7781,0.5851,1
0.6653,0.8014,1
0.9006,0.9072,0
0.0489,0.1405,0
0.4972,0.3863,1
0.7186,0.9098,0
0.0503,0.7607,0
0.1374,0.1759,0
0.3054,0.9324,0
0.1468,0.3639,0
0.8122,0.9053,0
0.2098,0.2513,0
0.9328,0.3976,0
0.7225,0.6267,1
0.4497,0.6888,1
0.4618,0.7667,1
0.1219,0.6246,0
0.4857,0.6992,1
0.7184,0.0783,0
0.4898,0.6554,1
0.5448,0.9541,0
0.2276,0.7034,1
0.2617,0.9450,0
0.9851,0.9141,0
0.7181,0.0492,0
0.9652,0.1803,0
0.1195,0.9719,0
0.0826,0.7381,0
0.7820,0.5420,1
0.8887,0.7691,0
0.0843,0.1633,0
0.9909,0.7937,0
0.7310,0.5206,1
0.5208,0.9338,0
0.3174,0.8540,0
0.7012,0.7755,1
0.4516,0.2157,1
0.0393,0.2688,0
0.1169,0.9185,0
0.7191,0.8102,0
0.0173,0.4610,0
0.5310,0.0685,0
0.2016,0.4741,1
0.4420,0.9233,0
0.3710,0.3676,1
0.6005,0.9535,0
0.5748,0.1223,0
0.0416,0.0565,0
0.1480,0.1685,0
0.2464,0.0333,0
0.0699,0.9440,0
0.4000,0.3444,1
0.8663,0.8446,0
0.6835,0.3280,1
0.9490,0.4530,0
0.7463,0.8012,0
0.5995,0.2356,1
0.0553,0.1936,0
0.0508,0.0617,0
0.7284,0.5111,1
0.0361,0.3649,0
0.3475,0.6476,1
0.7346,0.8437,0
0.5292,0.2265,1
0.3276,0.4835,1
0.5434,0.0503,0
0.8571,0.2699,0
0.7164,0.6926,1
0.7547,0.7534,0
0.5301,0.0767,0
0.8374,0.3413,0
0.6294,0.3208,1
0.4913,0.2109,1
0.5054,0.2389,1
0.0915,0.7508,0
0.6888,0.7489,1
0.3674,0.1239,0
0.8820,0.4014,0
0.6161,0.5188,1
0.2799,0.5342,1
0.4936,0.3587,1
0.5781,0.5906,1
0.6134,0.2958,1
0.1798,0.0306,0
0.3173,0.6595,1
0.7911,0.6302,1
0.4432,0.2657,1
0.7521,0.5375,1
0.5349,0.2153,1
0.8472,0.5128,1
0.2457,0.9367,0
0.7912,0.2464,0
0.2372,0.1112,0
0.1051,0.4314,0
0.0193,0.3876,0
0.4555,0.3664,1
0.8124,0.8350,0
0.6957,0.5262,1
0.4098,0.3509,1
0.0327,0.3394,0
0.6610,0.8032,1
0.1830,0.4317,1
0.4686,0.1190,0
0.3548,0.0614,0
0.9415,0.5031,0
0.3569,0.5264,1
0.4306,0.9159,0
0.5781,0.9613,0
0.0597,0.7087,0
0.0626,0.6654,0
0.1992,0.6185,1
0.1225,0.0664,0
0.9957,0.3882,0
0.0306,0.5297,0
0.9157,0.9108,0
0.8183,0.6257,1
0.5492,0.5866,1
0.5236,0.9878,0
0.9646,0.9527,0
0.8762,0.2804,0
0.1412,0.9490,0
0.6042,0.6664,1
0.1394,0.8015,0
0.9574,0.6261,0
0.5561,0.4719,1
0.4046,0.6242,1
0.3467,0.1597,0
0.3434,0.8944,0
0.3959,0.5470,1
0.5963,0.8811,0
0.7493,0.5329,1
0.6326,0.6193,1
0.3114,0.6028,1
0.2288,0.8988,0
0.5896,0.6262,1
0.8471,0.0467,0
0.5807,0.8014,1
0.5667,0.1589,1
0.3154,0.2893,1
0.6643,0.7445,1
0.0682,0.9218,0
0.3752,0.2190,1
0.8855,0.5456,0
0.3815,0.2489,1
0.1366,0.3855,0
0.8056,0.4211,1
0.3799,0.1977,1
0.6299,0.8820,0
0.9080,0.1444,0
0.0363,0.6286,0
0.0819,0.1469,0
0.0664,0.1588,0
0.6050,0.3621,1
0.0744,0.4374,0
0.8162,0.2121,0
0.2778,0.0069,0
0.3250,0.3815,1
0.2875,0.0063,0
0.0888,0.1167,0
0.5654,0.5834,1
0.2099,0.1776,0
0.5771,0.8281,1
0.7368,0.6079,1
0.4741,0.0524,0
0.5729,0.4012,1
0.8657,0.4121,0
0.8193,0.6740,0
0.4828,0.9119,0
0.5564,0.6981,1
0.1489,0.2056,0
0.7066,0.1718,0
0.5097,0.9479,0
0.0441,0.9912,0
0.5806,0.6173,1
0.4714,0.7607,1
0.2484,0.2216,0
0.0956,0.3012,0
0.0748,0.3175,0
0.4457,0.0391,0
0.9289,0.1557,0
0.6402,0.2577,1
0.0771,0.8678,0
0.2593,0.2652,1
0.3642,0.5330,1
0.8857,0.0355,0
0.4950,0.4791,1
0.2684,0.7473,1
0.3505,0.3738,1
0.6572,0.5954,1
0.3568,0.3734,1
0.3948,0.1794,1
0.3627,0.1340,0
0.7535,0.1364,0
0.6092,0.0525,0
0.1956,0.1992,0
0.7060,0.3294,1
0.4064,0.9675,0
0.0099,0.4947,0
0.3037,0.1801,0
0.0575,0.5578,0
0.3947,0.6871,1
0.0628,0.5539,0
0.3472,0.4910,1
0.5019,0.3371,1
0.2399,0.3220,1
0.2259,0.8044,0
0.4419,0.3924,1
0.0919,0.3536,0
0.9544,0.9364,0
0.3405,0.0480,0
0.4895,0.7782,1
0.4142,0.3890,1
0.7731,0.7531,0
0.4832,0.5345,1
0.7710,0.9653,0
0.0531,0.7561,0
0.7478,0.5506,1
0.9913,0.6600,0
0.5694,0.1804,1
0.7482,0.5276,1
0.0942,0.1619,0
0.6020,0.5258,1
0.7103,0.1652,0
0.2340,0.4913,1
0.2702,0.3192,1
0.0743,0.5514,0
0.7859,0.0857,0
0.9281,0.1321,0
0.4472,0.3741,1
0.5652,0.0354,0
0.1841,0.5251,1
0.8365,0.0482,0
0.3508,0.5295,1
0.2168,0.5277,1
0.3880,0.2181,1
0.8520,0.8086,0
0.9136,0.5175,0
0.7082,0.9314,0
0.3271,0.3034,1
0.5332,0.7552,1
0.2002,0.4929,1
0.8300,0.5907,1
0.4907,0.3960,1
0.5063,0.4981,1
0.5172,0.5546,1
0.7903,0.4415,1
0.6153,0.0201,0
0.7873,0.1367,0
0.9656,0.5684,0
0.5755,0.6532,1
0.9225,0.2471,0
